PI_number,log_dry_weight
PI570114,1.97397579811856
PI570145,2.23345802176136
PI570145,2.16968221694418
PI570254,2.41937260073291
PI570254,2.0182676202985
PI570254,1.8687991608665
PI570371,1.96482979584393
PI570371,1.83636510482237
PI570373,2.06431961411589
PI570373,2.01628655691303
PI570388,2.21094556916642
PI570388,2.16334790542158
PI570388,2.1568910657988
PI570393,2.08757934304865
PI570393,2.59705922054817
PI570393,1.96016107357585
PI570400,1.97397579811856
PI570400,1.8809389787307
PI570431,2.1542729488428
PI570431,2.16206649040961
PI570431,2.16716289781076
PI573193,1.8687991608665
PI573193,1.99154870807121
PI576399,1.66127453589717
PI576399,1.56138480359547
PI576399,1.58389725619042
PI576401,1.70440647149124
PI576401,1.78091059296878
PI576401,1.70942623827657
PI583832,2.18200126069226
PI583832,2.0411663008476
PI583832,2.27162111590623
PI585406,2.49834363015592
PI585406,1.90673957345807
PI585448,2.09077370427399
PI585448,1.98287787769276
PI585452,1.95542612609167
PI585452,2.02219482089765
PI585454,1.92551285263904
PI585454,1.78490834375327
PI585461,1.81527546935018
PI585461,1.90673957345807
PI585467,1.91491487678023
PI585467,1.8809389787307
PI585577,2.56753812438838
PI585577,1.99154870807121
PI585608,2.53219851743715
PI585608,1.94574984856542
PI585608,1.92551285263904
PI585954,2.44232378232618
PI585954,1.90948698156565
PI585954,1.751499664533
PI585961,1.87492425382964
PI585961,2.41937260073291
PI585961,1.89551807309378
PI585966,1.8687991608665
PI585966,1.71437163540566
PI586435,2.10932337630089
PI586435,1.8718757559235
PI586435,1.80793873004513
PI586443,1.83636510482237
PI586443,2.4240908163958
PI586443,2.07113226283332
PI586499,2.17835304732264
PI586499,2.09862837727595
PI586499,2.05736502505372
PI586541,1.91491487678023
PI586541,2.1211408298709
PI586541,1.95303322551711
PI593916,1.54548617025974
PI593916,1.58389725619042
PI593916,1.60498689166261
PI619807,2.0355872038364
PI619807,1.8687991608665
PI619838,1.93068827724985
PI619838,1.80043710646867
PI620072,2.01027183201196
PI620072,2.02414122991499
PI620157,2.13811778661782
PI620157,2.06431961411589
PI63715,1.95303322551711
PI63715,1.97171268300469
PI63715,1.9506230475325
PI641807,2.26696541699616
PI641807,2.02414122991499
PI641810,2.09862837727595
PI641810,1.97622367328444
PI641810,1.8809389787307
PI641815,1.84971921358798
PI641815,2.16462442017297
PI641815,1.86255957357855
PI641817,1.80043710646867
PI641817,1.8718757559235
PI641817,1.82598681189396
PI641821,1.93324620701321
PI641821,1.85939549111423
PI641824,2.18200126069226
PI641824,1.85939549111423
PI641824,2.02800032723925
PI641829,1.92289473568304
PI641829,1.8687991608665
PI641829,1.82245441701877
PI641830,1.73805590672678
PI641830,1.73345158268417
PI641830,1.66127453589717
PI641834,2.43446910932421
PI641834,2.0182676202985
PI641835,2.05026245496255
PI641835,2.20081233304629
PI641836,1.99790715176088
PI641836,1.89265274905693
PI641836,1.8294822176616
PI641850,2.24165004517172
PI641850,2.14359017476158
PI641850,1.97845651238353
PI641860,2.03931694320489
PI641860,2.00414673904882
PI641862,1.87492425382964
PI641862,1.96943411988653
PI641862,1.82598681189396
PI641892,2.13811778661782
PI641892,1.92551285263904
PI641892,1.92551285263904
PI641909,1.99154870807121
PI641909,1.77276852588906
PI641909,1.8687991608665
PI642998,1.81527546935018
PI642998,1.89551807309378
PI642998,1.83636510482237
PI643008,2.40168730014863
PI643008,2.07615202961866
PI643016,2.14359017476158
PI643016,2.36323038557444
PI646242,1.95542612609167
PI646242,2.03181531962843
PI646251,2.05560350011792
PI646251,2.12973722425826
PI646266,2.23241973725181
PI646266,1.94819534082677
PI646266,2.08757934304865
PI651491,2.07113226283332
PI651491,2.52405122050822
PI651491,2.12403096221669
PI651493,2.37087253039091
PI651493,2.17589856420004
PI651495,1.97845651238353
PI651495,2.19036183154407
PI651495,2.01228880612854
PI651496,2.04300546914031
PI651496,2.01429366621341
PI651496,2.33615991122862
PI651497,2.49027679919759
PI651497,2.24266005562667
PI653616,2.50067959630664
PI653616,2.23449308677889
PI653616,2.07448714736096
PI653617,2.36672579134209
PI653617,2.14359017476158
PI653617,2.08757934304865
PI655972,1.72404791293191
PI655972,1.78885878276662
PI655972,1.751499664533
PI655978,1.69413463947928
PI655978,1.5287922817517
PI655978,1.62482291672913
PI655981,1.8718757559235
PI655981,1.7425975849588
PI655981,1.63742094770674
PI655983,1.8718757559235
PI655983,2.11822545587508
PI655983,1.84971921358798
PI656015,1.80793873004513
PI656015,1.76017049491146
PI656015,1.74707829922377
PI656026,1.81162725598055
PI656026,1.54548617025974
PI656026,1.8431089342012
PI656035,1.80043710646867
PI656035,1.80420899067664
PI656035,1.67259115186281
PI656065,1.64956076557094
PI656065,1.86569394590973
PI656065,1.73345158268417
PI92270,1.86569394590973
PI92270,1.71437163540566
PI92270,1.88684724271532
